"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1848660979816796227","Tue Oct 22 09:41:38 +0000 2024","2","Pelantikan Para Menteri Kabinet Merah Putih Masa Bhakti 2024-2029 Dari puluhan pejabat itu ada tujuh tokoh yang dilantik sebagai menteri koordinator di Kabinet Merah Putih. Simak selengkapnya di https://t.co/mvwDqtFaly","1848660979816796227","","","in","Jakarta, Indonesia","1","0","0","https://x.com/lawjusticeco/status/1848660979816796227","567966875","lawjusticeco"
"1848660945272517017","Tue Oct 22 09:41:30 +0000 2024","0","Kemenkumham Siap Bertransformasi dalam Kabinet Merah Putih Berita selengkapnya https://t.co/bb8SLd2FZA #kemenkumhamjabar #kemenkumhamri #LapasKarawang #HumasLaskar #KamiPeduli #DemiKemajuanLapasKarawang #LapasKarawangBerubah #LapasKarawangBerprestasi #SorryGueBeda https://t.co/uww6uZN68I","1848660945272517017","https://pbs.twimg.com/media/GafDJ9NbYAApLOQ.jpg","","in","","0","0","0","https://x.com/Lapas2Akarawang/status/1848660945272517017","727394997134331904","Lapas2Akarawang"
"1848660753131393347","Tue Oct 22 09:40:44 +0000 2024","0","Hari kedua di kabinet merah putih udah pada dapet password wifi kali ya? Wkwkk. Kerja sambil minum kopi kapal api bapak ibu biar gak ketiduran pas rapat","1848660753131393347","","","in","Indonesia","0","0","0","https://x.com/RezaFitr/status/1848660753131393347","1688169165335711744","RezaFitr"
"1848660614672998750","Tue Oct 22 09:40:11 +0000 2024","0","REPOST kementerian.atrbpn Halo #SobATRBPN Presiden Republik Indonesia Prabowo Subianto melantik Menteri dan Wakil Menteri Kabinet Merah Putih di Istana Negara Jakarta pada Senin (21/10/2024). https://t.co/ZgDJaFo3Lz","1848660614672998750","https://pbs.twimg.com/ext_tw_video_thumb/1848659696665956352/pu/img/7sqvqJ0WuNEVXxeo.jpg","","in","Kabupaten Pohuwato","0","0","0","https://x.com/atrbpn_pohuwato/status/1848660614672998750","976376793765588993","atrbpn_pohuwato"
"1848660567264772550","Tue Oct 22 09:40:00 +0000 2024","0","#InfoTerkini di #Santaisore : - Kebocoran Penampungan Abu Flyash di Sedayu Sudah Tertangani - Instruksi Nova Arianto ke Pemain Indonesia U-17: Awas Drama Kuwait - Menteri Kabinet Merah Putih Akan Jalani Penataran di Akmil Magelang Streaming: https://t.co/Z9acKnZvuG","1848660567264772550","","","in","Jogja IZtimewa","0","0","1","https://x.com/895jizfm/status/1848660567264772550","251865062","895jizfm"
"1848660567185363243","Tue Oct 22 09:40:00 +0000 2024","0","Ada nama para purnawirawan TNI dalam Kabinet Merah Putih. Siapa saja mereka? https://t.co/pvEGh0pIl4","1848660567185363243","","","in","","0","0","0","https://x.com/detikcom/status/1848660567185363243","69183155","detikcom"
"1848660567139225957","Tue Oct 22 09:40:00 +0000 2024","0","Luhut Pandjaitan dipilih kembali sebagai Penasihat Khusus Presiden Bidang Digitalisasi dan Teknologi Pemerintahan di pemerintahan Presiden Prabowo Subianto. Sebelumnya Luhut Pandjaitan masuk dalam kabinet Merah Putih sebagai Menteri Ekonomi Nasional. https://t.co/lOXRGbBbGi","1848660567139225957","https://pbs.twimg.com/ext_tw_video_thumb/1848650818729480195/pu/img/B7Hj95W-AwjKv8qN.jpg","","in","","0","0","0","https://x.com/kuatbacacom/status/1848660567139225957","1471027662529257472","kuatbacacom"
"1848343733034754276","Tue Oct 22 09:39:49 +0000 2024","4","Kami sampaikan pula selamat bertugas kepada Menteri Keuangan dan Wakil Menteri Keuangan Kabinet Merah Putih 🇮🇩 Semoga senantiasa amanah menjadi nakhoda utama dalam keberpihakan Dana Abadi di Bidang Pendidikan yang inklusif dan berkelanjutan #DiriuntukNegeri https://t.co/AXDbqeyCfb","1848660519865225439","https://pbs.twimg.com/media/GafCzfDbEAMTooX.jpg","LPDP_RI","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/LPDP_RI/status/1848660519865225439","1527305923","LPDP_RI"
"1848660468812157152","Tue Oct 22 09:39:36 +0000 2024","0","Profil Nasaruddin Umar Imam Besar Masjid Istiqlal yang Jadi Menteri Agama Kabinet Merah Putih https://t.co/JFp8IwOI6C","1848660468812157152","","","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/SINDOnews/status/1848660468812157152","231355136","SINDOnews"
"1848660155631865913","Tue Oct 22 09:38:22 +0000 2024","0","Utas kelakuan kabinet Merah Putih ","1848660155631865913","","","in","Mataram, Indonesia","0","1","0","https://x.com/RyS_374/status/1848660155631865913","1373204617031413762","RyS_374"
"1848659971573223868","Tue Oct 22 09:37:38 +0000 2024","5","Wargi Jabar! Presiden RI Prabowo Subianto telah mengumumkan susunan kabinet Merah Putih bersama Wakil Presiden Gibran Rakabuming Raka untuk periode kepemimpinan 2024-2029. Berikut ini deretan menteri dan Wamen kabinet Merah Putih yang pernah berkiprah di Jabar. https://t.co/brGQiZnROA","1848659971573223868","https://pbs.twimg.com/media/GafCVA9bEAEzEXf.png","","in","","0","2","1","https://x.com/detikjabar_/status/1848659971573223868","1668145168468541441","detikjabar_"
"1848645422862242276","Tue Oct 22 09:37:32 +0000 2024","0","@CNNIndonesia kalau kabinet merah putih banyak ngurusin sampah kasus2 atas sampah2 terkait sampah2 mungkin KPK kejaksaan Polisi BPK semakin besar peluang semakin banyak lowongan begitu ?","1848659949145948493","","CNNIndonesia","in","Kota Tangerang, Banten","0","0","0","https://x.com/a_doni95/status/1848659949145948493","624211261","a_doni95"
"1848659812118110224","Tue Oct 22 09:37:00 +0000 2024","1","#FOTO Menteri dan wakil menteri Kabinet Merah Putih resmi dilantik di Istana Merdeka. Berikut sosok yang mendampingi mereka. https://t.co/8e6FUUjFQv","1848659812118110224","","","in","","0","0","0","https://x.com/detikcom/status/1848659812118110224","69183155","detikcom"
"1848659609063723275","Tue Oct 22 09:36:11 +0000 2024","1","Kabinet Merah Putih ini isinya 48 Menteri 56 Wakil Menteri 5 Kepala Lembaga. Ya kali 109 orang itu ga ada yang bisa tancap gas.... Sini Om Angger ajarin..... https://t.co/ZTCwHkGYxe","1848659609063723275","https://pbs.twimg.com/ext_tw_video_thumb/1848659550033129472/pu/img/_xHwSWEmF9p2wsq5.jpg","","in","SBY-MLG-JKT-LPG-BWI","0","0","0","https://x.com/om_angger/status/1848659609063723275","230881269","om_angger"
"1848659488230019155","Tue Oct 22 09:35:43 +0000 2024","0","Hari pertama kabinet merah putih Langsung kerja sesuai arahan bos","1848659488230019155","","","in","Mataram, Indonesia","0","0","0","https://x.com/RyS_374/status/1848659488230019155","1373204617031413762","RyS_374"
"1848659462191780149","Tue Oct 22 09:35:36 +0000 2024","0","Luhut Binsar Punya 2 Jabatan di Kabinet Merah Putih https://t.co/AY8wIw3GTR https://t.co/SLBQl2QXio","1848659462191780149","https://pbs.twimg.com/media/GafB_AhbEAEnPAH.png","","in","Solo, Central Java, Indonesia","0","0","0","https://x.com/soloposdotcom/status/1848659462191780149","155169715","soloposdotcom"
"1848659457267695876","Tue Oct 22 09:35:35 +0000 2024","0","Support emas naik ke 2725-20 dan garis tren atas belum tercapai. Strategi berikutnya adalah beli di 2725-20 dengan target di 2745-50. kabinet merah putih senin harga 20 T di pecat https://t.co/7nM9NXum5y","1848659457267695876","https://pbs.twimg.com/media/GafB3AzbEAIse91.png","","in","surabaya","0","0","0","https://x.com/cubestrading_id/status/1848659457267695876","1839545240342122496","cubestrading_id"
"1848659215344194026","Tue Oct 22 09:34:38 +0000 2024","4","Selamat atas dilantiknya Menteri Keuangan dan Wakil Menteri Keuangan Kabinet Merah Putih 🇮🇩 Semoga sinergi kepemimpinan yang terbentuk mampu memperkuat stabilitas fiskal dan mendorong pertumbuhan ekonomi Indonesia yang inklusif dan berkelanjutan https://t.co/4GOaUIRtOw","1848659215344194026","https://pbs.twimg.com/media/Gae_R_GaIAAXrij.jpg","","in","Jakarta Pusat, DKI Jakarta","0","0","3","https://x.com/DJPPRkemenkeu/status/1848659215344194026","737206675275407360","DJPPRkemenkeu"
"1848659189800808683","Tue Oct 22 09:34:31 +0000 2024","0","Dilantik Sebagai Sekretaris Kabinet Merah Putih Mayor Teddy Harus Mundur dari Militer? https://t.co/uBBGUzStZy","1848659189800808683","","","in","Kota Banjar, Jawa Barat","0","0","0","https://x.com/harapanrakyat_/status/1848659189800808683","239873274","harapanrakyat_"
"1848659136642416670","Tue Oct 22 09:34:19 +0000 2024","0","Sobat DN! Resmi dilantik! Kabinet Merah Putih Prabowo Gibran hadir dengan wajah-wajah baru termasuk 3 menteri muda yang masih di bawah 40 tahun! Semoga dengan adanya menteri dan wakil menteri muda mereka dapat memberikan harapan untuk masa depan Indonesia yang lebih maju https://t.co/GfWAoQi8P8","1848659136642416670","https://pbs.twimg.com/media/GafBpjjbEAMhroC.jpg","","in","Pejaten, Jakarta Selatan","0","0","0","https://x.com/DiskursusNet/status/1848659136642416670","1431093872835235843","DiskursusNet"
"1848658161743679525","Tue Oct 22 09:34:07 +0000 2024","6","Apalagi yg bersangkutan sudah mengakui... Ayo pak @prabowo ..ganti menteri ini agar jadi preseden baik di kabinet merah putih... https://t.co/Rtm1bnIbms","1848659087070007525","https://pbs.twimg.com/media/GafBpJ8bEAAqtrH.jpg","FayaAtika","in","Sidoarjo ---- Malang Kota","2","2","3","https://x.com/FayaAtika/status/1848659087070007525","1450733210074161153","FayaAtika"
"1848659046586339795","Tue Oct 22 09:33:57 +0000 2024","0","REPOST kementerian.atrbpn Presiden Republik Indonesia Prabowo Subianto melantik 53 jajaran Menteri dan Kepala Lembaga Kabinet Merah Putih di Istana Negara Jakarta Senin (21/10/2024). https://t.co/TPaUXONda2","1848659046586339795","https://pbs.twimg.com/media/GafBlAraIAAWHF1.jpg","","in","Kabupaten Pohuwato","0","0","0","https://x.com/atrbpn_pohuwato/status/1848659046586339795","976376793765588993","atrbpn_pohuwato"
"1848658959374373165","Tue Oct 22 09:33:36 +0000 2024","0","Kabinet Merah Putih","1848658959374373165","","","in","Padang, Sumbar, Indonesia","0","0","0","https://x.com/DekiBassist/status/1848658959374373165","102394410","DekiBassist"
"1848658479701266543","Tue Oct 22 09:31:42 +0000 2024","0","REPOST kementerian.atrbpn Halo #SobATRBPN segenap jajaran Kementerian ATR/BPN mengucapkan selamat bertugas kepada Bapak Nusron Wahid dan Bapak Ossy Dermawan sebagai Menteri ATR/Kepala BPN dan Wakil Menteri ATR/Wakil Kepala BPN di Kabinet Merah Putih. https://t.co/XQI11qSERe","1848658479701266543","https://pbs.twimg.com/media/GafBEpFbEAMhe_j.jpg","","in","Kabupaten Pohuwato","0","0","0","https://x.com/atrbpn_pohuwato/status/1848658479701266543","976376793765588993","atrbpn_pohuwato"
"1848658449153843501","Tue Oct 22 09:31:35 +0000 2024","0","Kemenkumham Siap Bertransformasi dalam Kabinet Merah Putih https://t.co/fd9G7nnfrg","1848658449153843501","https://pbs.twimg.com/media/GafA4MAa4AAP9Q-.jpg","","in","Sentani","0","0","0","https://x.com/lapsustik_jpr/status/1848658449153843501","1229670050052755456","lapsustik_jpr"
"1848658447933616270","Tue Oct 22 09:31:35 +0000 2024","0","DIREKTUR Eksekutif Indonesia Political Opinion (IPO) Dedi Kurnia Syah menilai Presiden Prabowo Subianto akan mengevaluasi secara menyeluruh menteri di Kabinet Merah Putih. https://t.co/Zh0FsfRwfL","1848658447933616270","","","in","Jakarta - Indonesia","0","0","0","https://x.com/mediaindonesia/status/1848658447933616270","68930552","mediaindonesia"
"1848658434679595393","Tue Oct 22 09:31:31 +0000 2024","0","Keluarga Besar Dinas Peternakan dan Kesehatan Hewan Provinsi Sulawesi Selatan mengucapkan Selamat dan Sukses atas Pelantikan Bapak Dr. Ir. H. Andi Amran Sulaiman M.P. sebagai Menteri Pertanian Republik Indonesia Kabinet Merah Putih Periode 2024-2029 https://t.co/nIxpcM3vGC","1848658434679595393","https://pbs.twimg.com/media/GafBC3ZbEAM3swO.jpg","","in","Makassar, Indonesia","0","0","0","https://x.com/dpkhsulsel/status/1848658434679595393","1793567299791908864","dpkhsulsel"
"1848658033922216199","Tue Oct 22 09:29:56 +0000 2024","47","Karena mereka baru 2 (dua) hari jadi Menteri Kabinet Merah Putih saya tadi pagi merasa belum pantas menyorot kinerja mereka Tetapi agak siangan dikit kenapa sudah ada setidaknya 3 orang Menteri yang layak dimaki? Dari bikin undangan pribadi pakai kop surat Menteri ; tentang","1848658033922216199","","","in","Tangerang - Indonesia","0","3","14","https://x.com/wdtu/status/1848658033922216199","158007705","wdtu"
"1848657787196514395","Tue Oct 22 09:28:57 +0000 2024","0","#SahabatPP Presiden Republik Indonesia ke delapan Prabowo Subianto telah melantik menteri dan wakil menteri Kabinet Merah Putih di Istana Negara Jakarta Senin pagi (21/10/2024). https://t.co/E0sO68ReHp","1848657787196514395","https://pbs.twimg.com/media/GafAVGobEAA8wvM.jpg","","in","Jl. H.R Rasuna Said Kav.6-7","0","0","0","https://x.com/djppkemenkumham/status/1848657787196514395","1228248931345190912","djppkemenkumham"
"1848657544342094033","Tue Oct 22 09:27:59 +0000 2024","2","11 Perwira dan Purnawirawan TNI di Kabinet Merah Putih Prabowo Siapa Saja? &lt; #PerwiraTNI #KabinetMerahPutih #KabinetPrabowoGibran https://t.co/3MSMXMxnne","1848657544342094033","https://pbs.twimg.com/media/GafANY2aYAA8J0I.jpg","","in","Jakarta","0","0","0","https://x.com/kompascom/status/1848657544342094033","23343960","kompascom"
"1848657273771725076","Tue Oct 22 09:26:55 +0000 2024","1","MANTAN Menteri Sekretaris Kabinet (Seskab) Pramono Anung merespons soal Kabinet Merah Putih yang dinilai gemuk. https://t.co/hk6JrlacSO","1848657273771725076","","","in","Jakarta - Indonesia","0","0","0","https://x.com/mediaindonesia/status/1848657273771725076","68930552","mediaindonesia"
"1848657250988265561","Tue Oct 22 09:26:49 +0000 2024","1","AJI MUMPUNG.... MEMALUKAN....... Seorang Menteri Kabinet Merah Putih. Terbayang ga? Seorang Menteri Mengundang Pejabat Se Kecamatan Mulai; Ketua RT RW Lurah Se Kecamatan untuk Haul....","1848657250988265561","","","in","","0","0","1","https://x.com/info_edubisnis/status/1848657250988265561","3152238055","info_edubisnis"
"1848657065301991537","Tue Oct 22 09:26:05 +0000 2024","0","Ini Daftar Lengkap Susunan Menteri Di Kabinet Merah Putih Presiden Prabowo Subianto https://t.co/YhKteY9uWQ","1848657065301991537","","","in","","0","0","0","https://x.com/sinarlampungco/status/1848657065301991537","1811691938506260480","sinarlampungco"
"1848373757728923945","Tue Oct 22 09:24:48 +0000 2024","0","@unicelounge Tinggalkan. Izinkan dia berjuang sendiri. Di bawah kabinet Merah Putih majulah ayo maju menyerbu.","1848656744521584817","","unicelounge","in","","0","0","0","https://x.com/pribumijawa932/status/1848656744521584817","1707350923356540928","pribumijawa932"
